sex,year,Central Asia,Eastern Asia,South-Eastern Asia,Southern Asia,Western Asia
Male,1990,2972344,1996803,1511104,10283173,8906428
Male,1995,2655599,2274256,1916620,7987547,9941901
Male,2000,2327133,2551537,2614376,7798733,11003367
Male,2005,2413191,2938257,3497791,6981986,13252419
Male,2010,2490544,3321334,4544819,7326556,20004053
Male,2015,2596335,3744128,5356686,7007526,25846271
Male,2020,2685448,4277681,5643257,7042488,30148030
Female,1990,3658339,1962463,1365512,9254767,6299016
Female,1995,3249196,2365493,1783437,7355472,6888523
Female,2000,2861949,2841467,2498832,7152010,7417582
Female,2005,2822686,3290427,3252682,6636681,8163667
Female,2010,2774394,3741193,4153117,7085289,10682341
Female,2015,2796457,4122535,4804461,6865947,14050903
Female,2020,2878594,4698048,4972120,6821046,16451790
Diff,1990,-685995,34340,145592,1028406,2607412
Diff,1995,-593597,-91237,133183,632075,3053378
Diff,2000,-534816,-289930,115544,646723,3585785
Diff,2005,-409495,-352170,245109,345305,5088752
Diff,2010,-283850,-419859,391702,241267,9321712
Diff,2015,-200122,-378407,552225,141579,11795368
Diff,2020,-193146,-420367,671137,221442,13696240
