target,source,value5,value2,value
Caribbean,Caribbean,1177,363,168
Caribbean,Latin America / Caribbean,17,2,1
Caribbean,Middle Africa,16,4,1
Caribbean,South America,262,31,52
Caribbean,Western Africa,69,69,
Central America,Caribbean,158,125,48
Central America,Central America,995,966,157
Central America,Central Asia,2,2,
Central America,Eastern Africa,1,,1
Central America,Eastern Asia,1,1,
Central America,Europe,1,1,
Central America,Latin America / Caribbean,833,717,34
Central America,Middle Africa,14,12,1
Central America,Mixed,41,41,
Central America,Northern America,1,1,
Central America,South America,261,233,61
Central America,Southern Asia,5,5,
Central America,Sub-Saharan Africa,3,3,1
Central America,Unknown,48,45,6
Central America,Western Africa,58,32,5
Central Asia,Central Asia,52,52,
Eastern Africa,Caribbean,5,,2
Eastern Africa,Eastern Africa,1698,1381,135
Eastern Africa,Middle Africa,261,261,
Eastern Africa,Sub-Saharan Africa,29,10,1
Eastern Africa,Unknown,23,23,1
Eastern Africa,Western Asia,2,2,
Eastern Asia,Eastern Asia,32,7,
Eastern Asia,South-eastern Asia,9,9,
Eastern Asia,Southern Asia,4,4,1
Eastern Asia,Western / Southern Asia,3,1,
Europe,Central Asia,15,15,
Europe,Eastern Africa,50,49,10
Europe,Europe,19,12,6
Europe,Middle Africa,9,6,
Europe,Mixed,27,27,
Europe,Northern Africa,82,81,2
Europe,South America,1,1,
Europe,Southern Asia,249,237,17
Europe,Sub-Saharan Africa,20,19,1
Europe,Unknown,175,169,7
Europe,Western / Southern Asia,113,106,1
Europe,Western Africa,28,28,4
Europe,Western Asia,264,244,31
Mediterranean,,39,39,
Mediterranean,Eastern Africa,446,88,39
Mediterranean,Middle Africa,73,36,23
Mediterranean,Mixed,7558,2110,348
Mediterranean,Northern Africa,2464,740,262
Mediterranean,Oceania,1,1,
Mediterranean,Southern Asia,435,191,24
Mediterranean,Sub-Saharan Africa,6585,2312,757
Mediterranean,Unknown,6517,2479,769
Mediterranean,Western / Southern Asia,819,596,110
Mediterranean,Western Africa,1449,376,143
Mediterranean,Western Asia,1714,864,132
Middle Africa,Eastern Africa,1,1,
Middle Africa,Middle Africa,67,66,
Middle Africa,Sub-Saharan Africa,123,123,14
Middle Africa,Unknown,5,5,
Middle Africa,Western Africa,18,12,2
North America,Caribbean,68,29,6
North America,Central America,1176,1166,178
North America,Eastern Asia,4,4,2
North America,Europe,9,9,3
North America,Latin America / Caribbean,2449,2442,133
North America,Middle Africa,1,1,1
North America,Northern Africa,1,1,
North America,Northern America,1,1,
North America,South America,68,64,15
North America,South-eastern Asia,1,1,
North America,Southern Africa,1,1,
North America,Southern Asia,8,8,3
North America,Unknown,19,17,2
North America,Western Africa,2,2,1
Northern Africa,Eastern Africa,2304,2287,156
Northern Africa,Middle Africa,36,36,
Northern Africa,Mixed,195,80,26
Northern Africa,Northern Africa,701,382,30
Northern Africa,Southern Asia,8,8,
Northern Africa,Sub-Saharan Africa,2270,1208,445
Northern Africa,Unknown,1944,1542,261
Northern Africa,Western Africa,648,298,69
Northern Africa,Western Asia,17,17,3
South America,Caribbean,109,99,26
South America,Latin America / Caribbean,3,3,1
South America,Mixed,15,9,
South America,Northern Africa,7,7,
South America,South America,295,284,55
South America,Southern Asia,24,9,1
South America,Sub-Saharan Africa,24,19,
South America,Unknown,1,1,
South America,Western Africa,4,4,2
South-eastern Asia,Eastern Asia,36,9,1
South-eastern Asia,South-eastern Asia,2018,500,65
South-eastern Asia,Southern Asia,1002,730,245
South-eastern Asia,Unknown,111,105,27
Southern Africa,Eastern Africa,139,100,4
Southern Africa,Southern Africa,20,11,
Southern Africa,Sub-Saharan Africa,1,1,
Southern Africa,Unknown,1,1,
Southern Asia,South-eastern Asia,323,106,21
Southern Asia,Southern Asia,2060,2055,126
Southern Asia,Unknown,14,14,5
Southern Asia,Western / Southern Asia,97,97,20
Western Africa,Middle Africa,37,37,
Western Africa,Mixed,3,3,
Western Africa,Northern Africa,3,3,
Western Africa,Sub-Saharan Africa,1595,1335,300
Western Africa,Unknown,535,535,114
Western Africa,Western Africa,878,483,44
Western Asia,Eastern Africa,1325,1174,173
Western Asia,Europe,1,1,
Western Asia,Middle Africa,1,1,
Western Asia,Northern Africa,6,5,
Western Asia,Southern Asia,135,112,7
Western Asia,Sub-Saharan Africa,1,1,
Western Asia,Unknown,101,82,4
Western Asia,Western / Southern Asia,221,215,40
Western Asia,Western Africa,2,2,
Western Asia,Western Asia,362,351,103
